uid,nombre_de_la_entidad,departamento_entidad,municipio_entidad,nivel_entidad,orden_entidad,tipo_de_proceso,objeto_a_contratar,nombre_familia,id_familia,detalle_objeto,cuantia_proceso,cuantia_contrato,valor_total_de_adiciones,valor_contrato_con_adiciones,anno_firma,fecha_fima,fecha_ini_ejec_contrato,plazo_de_ejec_del_contrato,rango_de_ejec_del_contrato,tiempo_adiciones_en_dias,tiempo_adiciones_en_meses,fecha_fin_ejec_contrato
18-1-185660-7741261,META - ALCALDÍA MUNICIPIO DE MAPIRIPÁN,Meta,Mapiripán,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,CONSTRUCCIÓN DE PAVIMENTO RÍGIDO Y URBANISMO EN VIAS URBANAS  DEL MUNICIPIO DE MAPIRIPAN-META,1734099448,1733268152,0,1733268152,2018.0,03/15/2018,06/05/2018,8,M,0,0,02/05/2019
17-1-174988-6226503,BOYACÁ - ALCALDÍA MUNICIPIO DE SANTA SOFÍA,Boyacá,Santa Sofía,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,CONSTRUCCIÓN DE PLACA HUELLAS VIAS TERCIARIAS DEL MUNICIPIO SANTA SOFÍA  BOYACÁ,499956611,499956611,0,499956611,2017.0,07/24/2017,07/26/2017,5,M,0,0,12/26/2017
15-1-137167-3773775,VALLE DEL CAUCA - ALCALDÍA MUNICIPIO DE YUMBO,Valle del Cauca,Yumbo,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 1,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,REHABILITACION Y ADECUACION DE VIAS EN LA ZONA INDUSTRIAL DEL MUNICIPIO DE YUMBO DEL SECTOR PARCELACION LA Y  VALLE DEL CAUCA OCCIDENTE,26761079728,26745525438,0,26745525438,2015.0,07/07/2015,07/13/2015,170,D,120,8,07/11/2016
17-1-178049-6562822,TOLIMA - GOBERNACIÓN,Tolima,Ibagué,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MEJORAMIENTO   MANTENIMIENTO  Y CONSERVACION DE LA VIA SEÑORITAS-PALMICHAL- RIOBLANCO,1994352069,1993463719,0,1993463719,2017.0,10/24/2017,10/24/2017,45,D,86,0,03/04/2018
15-1-142996-4001151,AGENCIA PARA LA INFRAESTRUCTURA DEL META - AIM,Meta,Villavicencio,TERRITORIAL,TERRITORIAL DEPARTAMENTAL CENTRALIZADO,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MEJORAMIENTO DE LAS VÍAS DEL SECTOR CANEY MEDIO EN EL MUNICIPIO DE CUMARAL  META. ORINOQUIA.,6577373598,6574978453,0,6574978453,2015.0,10/20/2015,03/07/2016,7,M,45,0,11/21/2016
15-1-150386-4114489,META - ALCALDÍA MUNICIPIO DE PUERTO LLERAS,Meta,Puerto Lleras,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MEJORAMIENTO DE LAS VIAS URBANAS UBICADAS EN LA CARRERA 8 ENTRE CALLES 5 Y 7; Y CARRERA 13 ENTRE CALLES 5 Y 7; CALLE 5 Y 6 ENTRE CARRERAS 12 Y 14 DEL MUNICIPIO DE PUERTO LLERAS META,1994254199,1994254127,0,1994254127,2015.0,12/01/2015,12/10/2015,4,M,0,0,04/10/2016
15-1-151722-4383459,HUILA - GOBERNACIÓN,Huila,Neiva,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,CONSTRUCCION DE PAVIMENTO EN CONCRETO HIDRAULICO DE LA CALLE 7 ENTRE CARRERAS 1 Y 8 CORREGIMIENTO BRUSELAS MUNICIPIO DE PITALITO HUILA,922088878,915634265,86206224,1001840489,2015.0,12/30/2015,02/23/2016,4,M,0,2,08/23/2016
15-1-148508-4128129,BOYACÁ - ALCALDÍA MUNICIPIO DE TUTA,Boyacá,Tuta,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,REHABILITACION DE LA MALLA VIAL DEL MUNICIPIO DE TUTA  VEREDA EL ALIZAL  DEPARTAMENTO DE BOYACA,449931600,439841404,0,439841404,2015.0,12/14/2015,12/16/2015,60,D,0,0,12/16/2015
15-1-148048-3993480,META - ALCALDÍA MUNICIPIO DE VISTA HERMOSA,Meta,Vistahermosa,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,CONSTRUCCION DE PAVIMENTO RIGIDO DE LA CALLE 12 ENTRE CARRERA 10 Y 13 DEL MUNICIPIO DE VISTAHERMOSA-META,1238091919,1238064378,195000000,1433064378,2015.0,10/21/2015,10/22/2015,70,D,0,0,10/22/2015
17-1-171710-6153036,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE VIANÍ,Cundinamarca,Vianí,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,CONTRATAR EL MEJORAMIENTO DE LA VIA VIANI ¿ VEREDA MANILLAS SECTOR (K2+400 A K10+000) DEL MUNICIPIO DE  VIANI - DEPARTAMENTO DE CUNDINAMARCA.,280373832,280295658,0,280295658,2017.0,06/01/2017,06/23/2017,4,M,0,0,10/23/2017
16-1-163628-5439805,BOLÍVAR - GOBERNACIÓN,Bolívar,Cartagena,TERRITORIAL,TERRITORIAL DEPARTAMENTAL CENTRALIZADO,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,REHABILITACIÓN Y MANTENIMIENTO DE 9.3 KMS DE LA VÍA DEL K0+880 AL K9+300 CRUCE 90 (CARRETERA CORDIALIDAD) ¿ SANTA ROSA DE LIMA  DEPARTAMENTO DE BOLÍVAR,10340920818,10310192749,0,10310192749,2016.0,12/05/2016,12/23/2016,6,M,0,0,06/23/2017
16-1-162213-5307652,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE FUNZA,Cundinamarca,Funza,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 5,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,CONSTRUCCION DE VIAS Y ANDENES EN LA CARRERA 2C ENTRE CALLES 15 Y 13 DEL MUNICIPIO FUNZA  CUNDINAMARCA,908532356,897861638,0,897861638,2016.0,11/15/2016,11/25/2016,2,M,0,0,01/25/2017
18-21-3565-7762633,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE MEDINA,Cundinamarca,Medina,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación obra pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MEJORAMIENTO DE LAS VIAS TERCEARIAS: VIA CANEY MEDIO  ARENALES SECTOR MATA DE CAFÉ  VIA LA TAGUARA  MESA DE REYES EN EL SECTOR LAS LAJAS  VIA LOS ALPES  SAN JOSE DEL PALMAR SECTOR EL PALMAR  VIA SAN PEDRO DE JAGUA  EL MADURO SECTOR LAS LAJAS  VIA LA TAGUARA  MESA DE REYES EN EL SECTOR CHIGUIRO; VIA PRINCIPAL HACIA LA VEREDA GAZAIRE SECTOR ALTO  EN EL MUNICIPIO DE MEDINA CUNDINAMARCA,300000000,299999892,0,299999892,2018.0,07/25/2018,07/25/2018,4,M,0,0,11/25/2018
16-1-155301-6158221,ATLÁNTICO - ALCALDÍA MUNICIPIO DE SABANAGRANDE,Atlántico,Sabanagrande,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,CONSTRUCCION DE PAVIMENTO RIGIDO DE VIAS URBANAS DEL MUNICIPIO DE SABANAGRANDE  DEPARTAMENTO DEL ATLANTICO,4900811400,4891425597,0,4891425597,2016.0,05/10/2016,12/30/2016,8,M,90,0,11/30/2017
17-1-179998-6580045,SANTANDER - ALCALDÍA MUNICIPIO DE GIRÓN,Santander,Girón,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 4,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,ESTUDIOS  DISEÑOS  MEJORAMIENTO Y PAVIMENTACION DE LAS VIAS DEL BARRIO MIRADOR DE SAN JUAN Y SUS SECTORES ALEDAÑOS  MUNICIPIO DE GIRON  DEPARTAMENTO DE SANTANDER,9386643045,9385947897,5177354963,14563302860,2017.0,10/31/2017,11/01/2017,14,M,30,6,07/31/2019
17-1-183796-7104575,ANTIOQUIA - ALCALDÍA MUNICIPIO DE CONCORDIA,Antioquia,Concordia,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,REHABILITACIÓN VIAL MEDIANTE LA CONSTRUCCIÓN DE PAVIMENTO FLEXIBLE EN EL ÁREA URBANA DEL MUNICIPIO DE CONCORDIA  DEPARTAMENTO DE ANTIOQUIA,618010407,617548485,0,617548485,2018.0,01/24/2018,02/20/2018,4,M,94,0,09/25/2018
19-21-9711-8619021,BOYACÁ - ALCALDÍA MUNICIPIO DE TOCA,Boyacá,Toca,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación obra pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MEJORAMIENTO DE VÍAS URBANAS MEDIANTE LA PAVIMENTACIÓN EN CONCRETO RÍGIDO  INCLUIDOS OBRAS COMPLEMENTARIAS EN LA CARRERA 8 ENTRE CALLES 6  7 Y 8  EN EL MUNICIPIO DE TOCA-BOYACÁ,468872947,468523977,0,468523977,2019.0,05/18/2019,05/05/2020,4,M,0,0,09/05/2020
16-1-157645-4959060,INSTITUTO NACIONAL DE VÍAS (INVIAS),Bogotá D.C.,Bogotá D.C.,NACIONAL,NACIONAL CENTRALIZADO,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MEJORAMIENTO Y MANTENIMIENTO DE LA CARRETERA BALSILLAS - SANTO DOMINGO - MINA 11 BLANCA. RUTA 30 TRAMO 3002 EN EL DEPARTAMENTO DE CAQUETA,1349983920,1324536720,0,1324536720,2016.0,08/10/2016,08/10/2016,3,M,0,2,01/10/2017
16-1-164395-5438261,TOLIMA - GOBERNACIÓN,Tolima,Ibagué,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MEJORAMIENTO Y PAVIMENTACIÓN DE LA VÍA CHUCUNI EN ZONA RURAL DE IBAGUÉ- DEPARTAMENTO DEL TOLIMA,1668791401,1665538850,571543750,2237082600,2016.0,12/27/2016,12/27/2016,120,D,45,0,02/10/2017
18-21-1401-7377806,GUAVIARE - GOBERNACIÓN,Guaviare,San José del Guaviare,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Licitación obra pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,CONSTRUCCIÓN OBRAS DE ARTE EN LA VÍA EL MORRO - LA FUGA EN LA VEREDA TAGUARA - RESGUARDO INDÍGENA FANAJIW DEL MUNICIPIO DE SAN JOSÉ DEL GUAVIARE - GUAVIARE,2884737757,2884737757,0,2884737757,2018.0,05/29/2018,07/12/2018,12,M,0,0,07/12/2019
15-1-142321-4104542,ANTIOQUIA - ALCALDÍA MUNICIPIO DE SANTO DOMINGO,Antioquia,Santo Domingo,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,PAVIMENTACION DE LA VIA DE ACCESO AL CORREGIMIENTO DE BOTERO  MUNICIPO DE SANTO DOMINGO ANTIOQUIA,153000000,150000000,76000000,226000000,2015.0,10/21/2015,11/03/2015,2,M,0,0,01/03/2016
15-1-138089-3735561,ANTIOQUIA - ALCALDÍA MUNICIPIO DE COPACABANA,Antioquia,Copacabana,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 3,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,¿Mejoramiento de la Malla Vial Rural del municipio de  Copacabana en rieles de Concreto¿,1897196148,1897146476,200000000,2097146476,2015.0,06/30/2015,07/06/2015,4,M,0,1,12/06/2015
18-21-3035-7434709,NORTE DE SANTANDER - ALCALDÍA MUNICIPIO DE SAN CALIXTO,Norte De Santander,San Calixto,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación obra pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,CONSTRUCCIÓN DE PAVIMENTO RÍGIDO Y REPOSICIÓN DE RED DE ALCANTARILLADO EN EL BARRIO EL TABACO DEL MUNICIPIO DE SAN CALIXTO  DEPARTAMENTO NORTE DE SANTANDER,674618596,672832125,0,672832125,2018.0,06/29/2018,06/29/2018,4,M,0,0,10/29/2018
17-1-175372-6501860,ANTIOQUIA - ALCALDÍA MUNICIPIO DE DON MATÍAS,Antioquia,Don Matías,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,PAVIMENTACIÓN DE VÍAS DE LOS BARRIOS LOS ALMENDROS Y PUENTE SÁNCHEZ DEL MUNICIPIO DE DONMATÍAS - ANTIOQUIA,346029102,344261238,0,344261238,2017.0,08/11/2017,08/22/2017,3,M,38,0,12/29/2017
17-1-172973-6177614,BOYACÁ - ALCALDÍA MUNICIPIO DE ZETAQUIRÁ,Boyacá,Zetaquira,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MEJORAMIENTO  REHABILITACIÓN Y MANTENIMIENTO DE LA MALLA VIAL RURAL DEL MUNICIPIO DE ZETAQUIRA,483130223,482587993,0,482587993,2017.0,06/22/2017,08/01/2017,3,M,0,0,11/01/2017
15-1-150349-4756474,SANTANDER - ALCALDÍA MUNICIPIO DE EL CARMEN DE CHUCURÍ,Santander,El Carmen de Chucurí,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,CONSTRUCCIÓN SEGUNDA FASE DE PAVIMENTO EN CONCRETO RÍGIDO EN LA CARRERA 3 N° 8ª Y 12ª DEL CASCO URBANO Y MEJORAMIENTO DE VÍAS VEREDALES EL CARMEN DE CHUCURI  SANTANDER,1342422066,1330814305,300554048,1631368353,2015.0,12/21/2015,02/10/2016,3,M,45,2,08/25/2016
17-1-180546-6776073,CUNDINAMARCA - INSTITUTO DE INFRAESTRUCTURA Y CONCESIONES DE CUNDINAMARCA - ICCU,Bogotá D.C.,Bogotá D.C.,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,REHABILITACIÓN DE LA VÍA BOQUERÓN  PANDI DEL DEPARTAMENTO DE CUNDINAMARCA,4670582470,4608747905,0,4608747905,2017.0,12/18/2017,01/15/2018,6,M,0,0,07/15/2018
15-1-137695-4308815,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE MADRID,Cundinamarca,Madrid,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 5,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,CONSTRUCCIÓN DE PLACA HUELLA EN LOS CAMELLONES: 1. CAMPO ALEGRE Y LA ROCA EN LA VEREDA LA PUNTA. 2. SECTOR LAS BRISAS Y LOS FIERROS EN LA VEREDA LA PUNTA. 3. SECTOR EL DIAMANTE CAMELLÓN 2 EN LA VEREDA PUENTE DE PIEDRA  DEL  MUNICIPIO DE MADRID  CUNDINAMARCA.,268000000,267974289,78844606,346818895,2015.0,07/02/2015,09/14/2015,3,M,0,0,12/14/2015
15-1-138714-3791515,AGENCIA PARA LA INFRAESTRUCTURA DEL META - AIM,Meta,Villavicencio,TERRITORIAL,TERRITORIAL DEPARTAMENTAL CENTRALIZADO,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MEJORAMIENTO Y MANTENIMIENTO DE LAS VÍAS EN EL DEPARTAMENTO DEL META.,46867226940,46857766484,0,46857766484,2015.0,07/22/2015,09/30/2015,12,M,0,6,03/30/2017
18-1-188495-7673958,BOYACÁ - ALCALDÍA MUNICIPIO DE TINJACÁ,Boyacá,Tinjacá,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,CONSTRUCCIÓN DE PAVIMENTO RÍGIDO Y ANDENES EN LAS  VÍAS URBANIZACIÓN DIVINO NIÑO DEL MUNICIPIO DE TINJACÁ  BOYACÁ,483136174,483115230,0,483115230,2018.0,05/04/2018,06/12/2018,4,M,0,0,10/12/2018
17-1-183579-7635146,ANTIOQUIA - ALCALDÍA MUNICIPIO DE DABEIBA,Antioquia,Dabeiba,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,REPARACIÓN Y MANTENIMIENTO DEL PUENTE COLGANTE PEATONAL UBICADO SOBRE EL RIO SUCIO DEL MUNICIPIO DE DABEIBA  DEPARTAMENTO DE ANTIOQUIA,216107620,216043612,19359912,235403524,2017.0,12/22/2017,03/08/2018,1,M,40,0,05/17/2018
15-1-138460-3821803,ANTIOQUIA - GOBERNACIÓN,Antioquia,Medellín,TERRITORIAL,TERRITORIAL DEPARTAMENTAL CENTRALIZADO,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MANTENIMIENTO  MEJORAMIENTO  REHABILITACIÓN Y CONSTRUCCIÓN DE OBRAS COMPLEMENTARIAS EN LAS VÍAS PRIORIZADAS DE LAS SUBREGIONES SUROESTE  OCCIDENTE Y MAGDALENA MEDIO DEL DEPARTAMENTO DE ANTIOQUIA,4926944267,4663352953,2451034174,7114387127,2015.0,08/10/2015,09/14/2015,5,M,0,2,04/14/2016
15-1-149092-4009311,BOYACÁ - ALCALDÍA MUNICIPIO DE IZA,Boyacá,Iza,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 2,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MEJORAMIENTO Y MANTENIMIENTO DE VÍAS RURALES Y APERTURA DE  VÍAS URBANAS DEL MUNICIPIO DE IZA BOYACÁ,330997611,330982954,0,330982954,2015.0,10/30/2015,10/30/2015,2,M,0,0,12/30/2015
16-1-162906-5338325,CASANARE - ALCALDÍA MUNICIPIO DE TAURAMENA,Casanare,Tauramena,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 5,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MEJORAMIENTO Y MANTENIMIENTO VIAL RURAL  ZONA CENTRO Y ZONA ALTA   2016 FASE 1  MUNICIPIO DE TAURAMENA CASANARE,1019300700,1019296874,306064110,1325360984,2016.0,11/28/2016,12/19/2016,5,M,0,0,05/19/2017
18-1-185620-7332164,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE SASAIMA,Cundinamarca,Sasaima,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MEJORAMIENTO DE LAS VIAS QUE CONDUCEN DEL MUNICIPIO DE SASAIMA A LA VEREDA SANTA TERESA SECTOR EL ENCANTO  VEREDA EL MOJON SECTOR LAS CECILIAS  VEREDA NARIZ ALTA SECTOR CAMPO HERMOSO  VEREDA PILACA BAJO SECTOR GUACAMAYAS  VEREDA ACUAPAL SECTOR SAN JORGE   VEREDA LIMONAL SECTOR EL KIOSCO  VEREDA SANTA ANA SECTOR LOS RIVERA  VEREDA SAN BERNARDO SECTOR EL ROCIO Y URBANIZACION VILLA CAROLINA DEL MUNICIPIO DE SASAIMA CUNDINAMARCA,810686916,810612213,0,810612213,2018.0,03/23/2018,05/10/2018,4,M,0,0,09/10/2018
15-1-143704-3919514,CÓRDOBA - ALCALDÍA MUNICIPIO DE PUEBLO NUEVO,Córdoba,Pueblo Nuevo,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MANTENIMIENTO  MEJORAMIENTO Y CONSERVACIÓN DE LA VÍA EL VARAL  NIEVA  INTERSECCIÓN VIA PUEBLO NUEVO ARENAS DEL SUR  MUNICIPIO DE PUEBLO NUEVO  DEPARTAMENTO DE CÓRDOBA,1350000000,1349595418,0,1349595418,2015.0,09/22/2015,09/22/2015,70,D,0,0,09/22/2015
15-1-139374-3753542,PUTUMAYO - GOBERNACIÓN,Putumayo,San Miguel de Mocoa,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MEJORMIENTO MEDIANTE REPARCHEO EN CONCRETO HIDRlíULlCO DE LA VÍA PUERTO LEGUÍZAMO-LA TAGUA MUNICIPIO DE PUERTO LEGUÍZAMO,952237527,952196382,0,952196382,2015.0,07/08/2015,08/11/2015,8,M,0,0,04/11/2016
15-1-151045-6425074,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE PASCA,Cundinamarca,Pasca,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,CONSTRUCCIÓN DE LAS SIGUIENTES PLACA HUELLAS EN EL MUNICIPIO DE PASCA CUNDINAMARCA  A) SECTOR FINAL URBANO HACIA LA VEREDA EL RETIRO  B) SECTOR VÍA LA GRANJA  C) SECTOR TERMINACIÓN DEL PAVIMENTO HACIA LA VEREDA BOCA DE MONTE  D) SECTOR EL ALTO DEL MOLINO HACIA ASO - ALBESA,1115416082,1095446335,0,1095446335,2015.0,12/04/2015,02/04/2016,6,M,0,0,08/04/2016
19-21-8216-8532295,CÓRDOBA - ALCALDÍA MUNICIPIO DE AYAPEL,Córdoba,Ayapel,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación obra pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,EXTENSIO´N DE REDES DE ALCANTARILLADO SANITARIO EN LA ZONA URBANA DEL MUNICIPIO DE AYAPEL  DEPARTAMENTO DE CO´RDOBA,1310999962,1310945813,0,1310945813,2019.0,04/23/2019,04/23/2019,5,M,0,0,09/23/2019
15-1-146227-3977476,SANTANDER - ALCALDÍA MUNICIPIO DE SABANA DE TORRES,Santander,Sabana de Torres,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MEJORAMIENTO Y PAVIMENTACIÓN DE LA CARRETERA SABANA DE TORRES - LOS PINOS FASE II  MUNICIPIO DE SABANA DE TORRES  SANTANDER,4964596921,4964596920,0,4964596920,2015.0,10/06/2015,10/22/2015,3,M,0,0,01/22/2016
19-1-198736-8407051,TOLIMA - ALCALDÍA MUNICIPIO DE LÉRIDA,Tolima,Lérida,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MANTENIMIENTO  CONSERVACIÓN Y REHABILITACIÓN DE VÍAS CON LA CONSTRUCCIÓN DE PLACA HUELLAS ENTRE; EL CENTRO POBLADO LAS DELICIAS Y ALTAMIRADA EN EL MUNICIPIO DE LÉRIDA TOLIMA.,379960244,379896814,0,379896814,2019.0,03/19/2019,03/28/2019,4,M,0,0,07/28/2019
15-1-139179-3820261,ANTIOQUIA - ALCALDÍA MUNICIPIO DE GUARNE,Antioquia,Guarne,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,REDUCCIÓN DEL RIESGO DE INUNDACIÓN  RECUPERACIÓN DE LA RONDA HIDRICA Y MEJORAMIENTO DEL ESPACIO PUBLICO EN LA ZONA URBANA DEL MUNICIPIO DE GUARNE  MEDIANTE LA CONSTRUCCIÓN DE UN PARQUE LINEAL.,786771310,786771310,390000000,1176771310,2015.0,07/16/2015,08/01/2015,150,D,60,0,09/30/2015
18-21-4751-7810036,BOYACÁ - ALCALDÍA MUNICIPIO DE MUZO,Boyacá,Muzo,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación obra pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,CONSTRUCCIÓN Y REHABILITACIÓN DE REDES Y VÍAS URBANAS DEL MUNICIPIO DE MUZO - BOYACÁ,1088281381,1085997642,230000000,1315997642,2018.0,09/07/2018,09/11/2018,4,M,0,0,01/11/2019
17-1-169401-5973072,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE SOPÓ,Cundinamarca,Sopó,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,SEÑALIZACION Y DEMARCACION VIAL URBANA Y RURAL EN EL MUNICIPIO DE SOPÓ - CUNDINAMARCA,214285714,213952591,0,213952591,2017.0,04/06/2017,05/03/2017,45,D,30,0,07/17/2017
15-1-149355-4195030,ANTIOQUIA - FONDO DE VALORIZACIÓN DEL MUNICIPIO DE MEDELLÍN - FONVAL,Antioquia,Medellín,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,Construcción de la Ampliación a doble calzada de la Loma de Los Parra (Calle 1 Sur) entre la Avenida El Poblado (Carrera 43A) y la Avenida 34 y obras complementarias.,9062125659,8596332813,3008716492,11605049305,2015.0,12/28/2015,02/01/2016,12,M,157,3,10/05/2017
17-1-176438-6405359,CAUCA - ALCALDÍA MUNICIPIO DE BALBOA,Cauca,Balboa,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 5,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,CONSTRUCCIÓN DE PAVIMENTO EN EL BARRIO LA PAMPA  CABECERA MUNICIPAL DE BALBOA Y CONSTRUCCIÓN DE PLACA HUELLA EN LAS VÍAS PERIMETRALES DEL COLEGIO LA PLANADA  CORREGIMIENTO DE LA PLANADA  MUNICIPIO DE BALBOA,556912360,556912360,0,556912360,2016.0,08/31/2016,09/30/2017,4,M,0,0,01/30/2018
